BSI__PFLU_U_BE1__K141_158705_1-MONOMER	BSI__PFLU_U_BE1__K141_158705_1		NIL	
BSI__PFLU_U_BE1__K141_158705_2-MONOMER	BSI__PFLU_U_BE1__K141_158705_2		NIL	
BSI__PFLU_U_BE1__K141_158705_3-MONOMER	BSI__PFLU_U_BE1__K141_158705_3		NIL	
BSI__PFLU_U_BE1__K141_66312_1-MONOMER	BSI__PFLU_U_BE1__K141_66312_1		NIL	
BSI__PFLU_U_BE1__K141_66312_2-MONOMER	BSI__PFLU_U_BE1__K141_66312_2		NIL	
BSI__PFLU_U_BE1__K141_66312_3-MONOMER	BSI__PFLU_U_BE1__K141_66312_3		NIL	
BSI__PFLU_U_BE1__K141_158389_1-MONOMER	BSI__PFLU_U_BE1__K141_158389_1		NIL	
BSI__PFLU_U_BE1__K141_158389_2-MONOMER	BSI__PFLU_U_BE1__K141_158389_2		NIL	
BSI__PFLU_U_BE1__K141_66312_4-MONOMER	BSI__PFLU_U_BE1__K141_66312_4		NIL	
BSI__PFLU_U_BE1__K141_158389_3-MONOMER	BSI__PFLU_U_BE1__K141_158389_3		NIL	
BSI__PFLU_U_BE1__K141_158389_4-MONOMER	BSI__PFLU_U_BE1__K141_158389_4		NIL	
BSI__PFLU_U_BE1__K141_158389_5-MONOMER	BSI__PFLU_U_BE1__K141_158389_5		NIL	
BSI__PFLU_U_BE1__K141_66192_1-MONOMER	BSI__PFLU_U_BE1__K141_66192_1		NIL	
BSI__PFLU_U_BE1__K141_157648_1-MONOMER	BSI__PFLU_U_BE1__K141_157648_1		NIL	
BSI__PFLU_U_BE1__K141_157648_2-MONOMER	BSI__PFLU_U_BE1__K141_157648_2		NIL	
BSI__PFLU_U_BE1__K141_157648_3-MONOMER	BSI__PFLU_U_BE1__K141_157648_3		NIL	
BSI__PFLU_U_BE1__K141_157648_4-MONOMER	BSI__PFLU_U_BE1__K141_157648_4		NIL	
BSI__PFLU_U_BE1__K141_66192_2-MONOMER	BSI__PFLU_U_BE1__K141_66192_2		NIL	
BSI__PFLU_U_BE1__K141_157648_5-MONOMER	BSI__PFLU_U_BE1__K141_157648_5		NIL	
BSI__PFLU_U_BE1__K141_66192_3-MONOMER	BSI__PFLU_U_BE1__K141_66192_3		NIL	
BSI__PFLU_U_BE1__K141_157648_6-MONOMER	BSI__PFLU_U_BE1__K141_157648_6		NIL	
BSI__PFLU_U_BE1__K141_66192_4-MONOMER	BSI__PFLU_U_BE1__K141_66192_4		NIL	
BSI__PFLU_U_BE1__K141_157648_7-MONOMER	BSI__PFLU_U_BE1__K141_157648_7		NIL	
BSI__PFLU_U_BE1__K141_66192_5-MONOMER	BSI__PFLU_U_BE1__K141_66192_5		NIL	
BSI__PFLU_U_BE1__K141_66192_6-MONOMER	BSI__PFLU_U_BE1__K141_66192_6		NIL	
BSI__PFLU_U_BE1__K141_66192_7-MONOMER	BSI__PFLU_U_BE1__K141_66192_7		NIL	
BSI__PFLU_U_BE1__K141_156899_1-MONOMER	BSI__PFLU_U_BE1__K141_156899_1		NIL	
BSI__PFLU_U_BE1__K141_156899_2-MONOMER	BSI__PFLU_U_BE1__K141_156899_2		NIL	
BSI__PFLU_U_BE1__K141_156899_3-MONOMER	BSI__PFLU_U_BE1__K141_156899_3		NIL	
