Compound	Cluster	Classes	Common names	MetaCyc link
2-METHYLMALEATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	citraconate	https://metacyc.org/compound?orgid=META&id=2-METHYLMALEATE
CPD-18063	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	8-amino-3,8-dideoxy-&alpha;-D-manno-octulosonate	https://metacyc.org/compound?orgid=META&id=CPD-18063
4-IMIDAZOLONE-5-PROPIONATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	4-imidazolone-5-propanoate	https://metacyc.org/compound?orgid=META&id=4-IMIDAZOLONE-5-PROPIONATE
CPD-12249	2	DIPEPTIDES, Chemicals, FRAMES, Peptides, Compounds, OLIGOPEPTIDES, Dipeptides-Of-D-Amino-Acids, Compounds-And-Elements	D-alanyl-D-serine	https://metacyc.org/compound?orgid=META&id=CPD-12249
CPD-12247	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements, Depsipeptides, Peptides, Modified-Peptides	D-alanyl-D-lactate	https://metacyc.org/compound?orgid=META&id=CPD-12247
4-OXOGLUTARAMATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	4-oxoglutaramate	https://metacyc.org/compound?orgid=META&id=4-OXOGLUTARAMATE
CPD-12116	2	Membrane-Electron-Carriers, Redox-Electron-Carriers, ETR-Quinols, Chemicals, Aromatics, FRAMES, Reduced-Quinones, Demethylmenaquinols, Compounds, Menaquinols, Modified-Menaquinols, Acceptors, Compounds-And-Elements	demethylmenaquinol-6	https://metacyc.org/compound?orgid=META&id=CPD-12116
CPD-12115	2	Membrane-Electron-Carriers, Redox-Electron-Carriers, ETR-Quinols, Chemicals, Aromatics, FRAMES, Reduced-Quinones, Demethylmenaquinols, Compounds, Menaquinols, Modified-Menaquinols, Acceptors, Compounds-And-Elements	demethylmenaquinol-8	https://metacyc.org/compound?orgid=META&id=CPD-12115
CPD-12150	2	Organic-Acids, Chemicals, Acids, D-Amino-Acids, FRAMES, Compounds, Amino-Acids, All-Amino-Acids, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	D-leucine	https://metacyc.org/compound?orgid=META&id=CPD-12150
CHOCOLA_A	2	Retinyl-Esters, Chemicals, FRAMES, Diterpenes, Terpenoids, Compounds, Secondary-Metabolites, Esters, All-trans-Retinyl-Esters, Polyisoprenoids, Lipids, Retinoids, Compounds-And-Elements	all-trans-retinyl palmitate	https://metacyc.org/compound?orgid=META&id=CHOCOLA_A
UROCANATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	urocanate	https://metacyc.org/compound?orgid=META&id=UROCANATE
CPD-18064	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	3,8-dideoxy-8-oxo-&alpha;-D-manno-octulosonate	https://metacyc.org/compound?orgid=META&id=CPD-18064
CPD-302	2	Organic-Acids, Chemicals, Acids, D-Amino-Acids, FRAMES, Compounds, Amino-Acids, All-Amino-Acids, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-302
CPD-3633	2	Chemicals, FRAMES, Compounds, Amino-Acids, Polar-amino-acids, Carboxylates, All-Carboxy-Acids, Organic-Acids, Acids, D-Amino-Acids, Uncharged-polar-amino-acids, All-Amino-Acids, Compounds-And-Elements	D-asparagine	https://metacyc.org/compound?orgid=META&id=CPD-3633
CPD-7247	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	all-trans-13,14-dihydroretinol	https://metacyc.org/compound?orgid=META&id=CPD-7247
CPD-569	2	Aliphatic-Amines, Chemicals, FRAMES, Diamines, All-Amines, Polyamines, Compounds, Aliphatic-Diamines, Compounds-And-Elements, Aliphatic-N-Acetyl-Diamines	N-acetylputrescine	https://metacyc.org/compound?orgid=META&id=CPD-569
GLUCONATE	2	Chemicals, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Compounds, Aldonic-Acids, All-Carboxy-Acids, Carboxylates, Monocarboxylates, Organic-Acids, All-Carbohydrates, Acids, Compounds-And-Elements	D-gluconate	https://metacyc.org/compound?orgid=META&id=GLUCONATE
CPD-448	2	Carbohydrate-Derivatives, All-Carbohydrates, Chemicals, FRAMES, Sugar-1-Phosphate, Hexose-phosphates, Carbohydrates, Hexose-1-Phosphate, Glycans, Sugar-Phosphate, Compounds, Compounds-And-Elements, D-glucose-1-phosphates	&beta;-D-glucopyranose 1-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-448
ISOGLUTAMINE	2	L-Amino-Acids, Organic-Acids, Chemicals, Acids, FRAMES, Compounds, Amino-Acids, All-Amino-Acids, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	L-isoglutamine	https://metacyc.org/compound?orgid=META&id=ISOGLUTAMINE
N-FORMIMINO-L-GLUTAMATE	2	Chemicals, FRAMES, Modified-Amino-Acids, Compounds, N-Acylated-Amino-Acids, Amino-Acids, N-ACYL-L-AMINO-ACID, N-Acylated-Aliphatic-Amino-Acids, All-Carboxy-Acids, Carboxylates, L-Amino-Acids, Organic-Acids, N-Substituted-Amino-Acids, Acids, N-alpha-Acylated-L-Amino-Acids, All-Amino-Acids, Compounds-And-Elements	N-formimino-L-glutamate	https://metacyc.org/compound?orgid=META&id=N-FORMIMINO-L-GLUTAMATE
