Compound	Cluster	Classes	Common names	MetaCyc link
5Z-3-oxo-tetradec-5-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (5Z)-3-oxo-tetradec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=5Z-3-oxo-tetradec-5-enoyl-ACPs
Trans-D3-cis-D5-dodecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, Di-unsaturated-acyl-ACPs, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,5Z)-dodeca-3,5-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D3-cis-D5-dodecenoyl-ACPs
CPD-208	1	Compounds, Thioesters, FRAMES, All-Coas, Compounds-And-Elements, Esters, Chemicals, CPD-15846	(S)-malyl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-208
Cis-Delta5-dodecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (5Z)-dodec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-Delta5-dodecenoyl-ACPs
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,9Z)-3-hydroxy-octadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs
CPD-13534	1	3-KETOACYL-COA, Compounds, Thioesters, FRAMES, ACYL-COA, Compounds-And-Elements, Short-Chain-oxoacyl-CoAs, Esters, Chemicals, 3-Oxoacyl-CoAs, All-Coas	3-oxopentanoyl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-13534
OXALYL-COA	1	Compounds, Compounds-And-Elements, Thioesters, Esters, FRAMES, Chemicals, All-Coas	oxalyl-CoA	https://metacyc.org/compound?orgid=META&id=OXALYL-COA
CPD-12692	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals, SULFONATES, 2-3-dihydroxypropane-1-sulfonate, ORGANOSULFUR	(2R)-3-sulfopropanediol	https://metacyc.org/compound?orgid=META&id=CPD-12692
3-oxo-petroselinoyl-ACPs	1	Proteins, FRAMES, Macromolecules, B-KETOACYL-ACP, Modified-Proteins, ACYL-ACP, Long-Chain-3-oxo-ACPs, Polypeptides, Chemicals, All-ACPs	a (6Z)-3-oxooctadec-6-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-petroselinoyl-ACPs
CPD-15999	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	dialurate	https://metacyc.org/compound?orgid=META&id=CPD-15999
3-oxo-cis-D7-tetradecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (7Z)-3-oxotetradec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-cis-D7-tetradecenoyl-ACPs
INDOXYL	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals, Indole-Derivatives, Indoles, Aromatics	indoxyl	https://metacyc.org/compound?orgid=META&id=INDOXYL
2E-9Z-octadeca-2-9-dienoyl-ACPs	1	Proteins, a-polyunsaturated-acyl-acp, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,9Z)-octadeca-2,9-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-9Z-octadeca-2-9-dienoyl-ACPs
CPD-825	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	4-guanidinobutyraldehyde	https://metacyc.org/compound?orgid=META&id=CPD-825
DIMETHYLBENZIMIDAZOLE	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals, Cobamide-Lower-Ligands	5,6-dimethylbenzimidazole	https://metacyc.org/compound?orgid=META&id=DIMETHYLBENZIMIDAZOLE
HYDROXYMUCONATE-SALD	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	(2Z,4E)-2-hydroxy-6-oxohexa-2,4-dienoate	https://metacyc.org/compound?orgid=META&id=HYDROXYMUCONATE-SALD
GLUCOSAMINE-1P	1	Sugar-1-Phosphate, Carbohydrate-Derivatives, Compounds, Carbohydrates, FRAMES, All-Carbohydrates, Compounds-And-Elements, Sugar-Phosphate, Chemicals, Glycans	&alpha;-D-glucosamine 1-phosphate	https://metacyc.org/compound?orgid=META&id=GLUCOSAMINE-1P
