BSI__PFLU_U_BE1__K141_101439_393-MONOMER	BSI__PFLU_U_BE1__K141_101439_393		NIL	
BSI__PFLU_U_BE1__K141_101439_394-MONOMER	BSI__PFLU_U_BE1__K141_101439_394		NIL	
BSI__PFLU_U_BE1__K141_101439_395-MONOMER	BSI__PFLU_U_BE1__K141_101439_395		NIL	
BSI__PFLU_U_BE1__K141_101439_396-MONOMER	BSI__PFLU_U_BE1__K141_101439_396		NIL	
BSI__PFLU_U_BE1__K141_101439_397-MONOMER	BSI__PFLU_U_BE1__K141_101439_397		NIL	
BSI__PFLU_U_BE1__K141_101439_398-MONOMER	BSI__PFLU_U_BE1__K141_101439_398		NIL	
BSI__PFLU_U_BE1__K141_101439_399-MONOMER	BSI__PFLU_U_BE1__K141_101439_399		NIL	
BSI__PFLU_U_BE1__K141_101439_400-MONOMER	BSI__PFLU_U_BE1__K141_101439_400		NIL	
BSI__PFLU_U_BE1__K141_101439_401-MONOMER	BSI__PFLU_U_BE1__K141_101439_401		NIL	
BSI__PFLU_U_BE1__K141_101439_402-MONOMER	BSI__PFLU_U_BE1__K141_101439_402		NIL	
BSI__PFLU_U_BE1__K141_101439_403-MONOMER	BSI__PFLU_U_BE1__K141_101439_403		NIL	
BSI__PFLU_U_BE1__K141_101439_404-MONOMER	BSI__PFLU_U_BE1__K141_101439_404		NIL	
BSI__PFLU_U_BE1__K141_101439_405-MONOMER	BSI__PFLU_U_BE1__K141_101439_405		NIL	
BSI__PFLU_U_BE1__K141_101439_406-MONOMER	BSI__PFLU_U_BE1__K141_101439_406		NIL	
BSI__PFLU_U_BE1__K141_101439_407-MONOMER	BSI__PFLU_U_BE1__K141_101439_407		NIL	
BSI__PFLU_U_BE1__K141_101439_408-MONOMER	BSI__PFLU_U_BE1__K141_101439_408		NIL	
BSI__PFLU_U_BE1__K141_101439_409-MONOMER	BSI__PFLU_U_BE1__K141_101439_409		NIL	
BSI__PFLU_U_BE1__K141_101439_410-MONOMER	BSI__PFLU_U_BE1__K141_101439_410		NIL	
BSI__PFLU_U_BE1__K141_101439_411-MONOMER	BSI__PFLU_U_BE1__K141_101439_411		NIL	
BSI__PFLU_U_BE1__K141_101439_412-MONOMER	BSI__PFLU_U_BE1__K141_101439_412		NIL	
BSI__PFLU_U_BE1__K141_101439_413-MONOMER	BSI__PFLU_U_BE1__K141_101439_413		NIL	
BSI__PFLU_U_BE1__K141_101439_414-MONOMER	BSI__PFLU_U_BE1__K141_101439_414		NIL	
BSI__PFLU_U_BE1__K141_101439_415-MONOMER	BSI__PFLU_U_BE1__K141_101439_415		NIL	
BSI__PFLU_U_BE1__K141_101439_416-MONOMER	BSI__PFLU_U_BE1__K141_101439_416		NIL	
BSI__PFLU_U_BE1__K141_101439_417-MONOMER	BSI__PFLU_U_BE1__K141_101439_417		NIL	
BSI__PFLU_U_BE1__K141_101439_418-MONOMER	BSI__PFLU_U_BE1__K141_101439_418		NIL	
BSI__PFLU_U_BE1__K141_101439_419-MONOMER	BSI__PFLU_U_BE1__K141_101439_419		NIL	
BSI__PFLU_U_BE1__K141_101439_420-MONOMER	BSI__PFLU_U_BE1__K141_101439_420		NIL	
BSI__PFLU_U_BE1__K141_101439_421-MONOMER	BSI__PFLU_U_BE1__K141_101439_421		NIL	
BSI__PFLU_U_BE1__K141_101439_422-MONOMER	BSI__PFLU_U_BE1__K141_101439_422		NIL	
BSI__PFLU_U_BE1__K141_101439_423-MONOMER	BSI__PFLU_U_BE1__K141_101439_423		NIL	
BSI__PFLU_U_BE1__K141_101439_424-MONOMER	BSI__PFLU_U_BE1__K141_101439_424		NIL	
BSI__PFLU_U_BE1__K141_101439_425-MONOMER	BSI__PFLU_U_BE1__K141_101439_425		NIL	
BSI__PFLU_U_BE1__K141_101439_426-MONOMER	BSI__PFLU_U_BE1__K141_101439_426		NIL	
BSI__PFLU_U_BE1__K141_101439_427-MONOMER	BSI__PFLU_U_BE1__K141_101439_427		NIL	
BSI__PFLU_U_BE1__K141_101439_428-MONOMER	BSI__PFLU_U_BE1__K141_101439_428		NIL	
BSI__PFLU_U_BE1__K141_101439_429-MONOMER	BSI__PFLU_U_BE1__K141_101439_429		NIL	
BSI__PFLU_U_BE1__K141_101439_430-MONOMER	BSI__PFLU_U_BE1__K141_101439_430		NIL	
BSI__PFLU_U_BE1__K141_101439_431-MONOMER	BSI__PFLU_U_BE1__K141_101439_431		NIL	
BSI__PFLU_U_BE1__K141_101439_432-MONOMER	BSI__PFLU_U_BE1__K141_101439_432		NIL	
BSI__PFLU_U_BE1__K141_101439_433-MONOMER	BSI__PFLU_U_BE1__K141_101439_433		NIL	
BSI__PFLU_U_BE1__K141_101439_434-MONOMER	BSI__PFLU_U_BE1__K141_101439_434		NIL	
BSI__PFLU_U_BE1__K141_101439_435-MONOMER	BSI__PFLU_U_BE1__K141_101439_435		NIL	
BSI__PFLU_U_BE1__K141_101439_436-MONOMER	BSI__PFLU_U_BE1__K141_101439_436		NIL	
BSI__PFLU_U_BE1__K141_101439_437-MONOMER	BSI__PFLU_U_BE1__K141_101439_437		NIL	
BSI__PFLU_U_BE1__K141_101439_438-MONOMER	BSI__PFLU_U_BE1__K141_101439_438		NIL	
BSI__PFLU_U_BE1__K141_101439_439-MONOMER	BSI__PFLU_U_BE1__K141_101439_439		NIL	
BSI__PFLU_U_BE1__K141_101439_440-MONOMER	BSI__PFLU_U_BE1__K141_101439_440		NIL	
BSI__PFLU_U_BE1__K141_101439_441-MONOMER	BSI__PFLU_U_BE1__K141_101439_441		NIL	
BSI__PFLU_U_BE1__K141_101439_442-MONOMER	BSI__PFLU_U_BE1__K141_101439_442		NIL	
BSI__PFLU_U_BE1__K141_173029_1-MONOMER	BSI__PFLU_U_BE1__K141_173029_1		NIL	
BSI__PFLU_U_BE1__K141_173029_2-MONOMER	BSI__PFLU_U_BE1__K141_173029_2		NIL	
BSI__PFLU_U_BE1__K141_173029_3-MONOMER	BSI__PFLU_U_BE1__K141_173029_3		NIL	
BSI__PFLU_U_BE1__K141_173029_4-MONOMER	BSI__PFLU_U_BE1__K141_173029_4		NIL	
BSI__PFLU_U_BE1__K141_173029_5-MONOMER	BSI__PFLU_U_BE1__K141_173029_5		NIL	
BSI__PFLU_U_BE1__K141_173029_6-MONOMER	BSI__PFLU_U_BE1__K141_173029_6		NIL	
BSI__PFLU_U_BE1__K141_173029_7-MONOMER	BSI__PFLU_U_BE1__K141_173029_7		NIL	
BSI__PFLU_U_BE1__K141_173029_8-MONOMER	BSI__PFLU_U_BE1__K141_173029_8		NIL	
BSI__PFLU_U_BE1__K141_101439_443-MONOMER	BSI__PFLU_U_BE1__K141_101439_443		NIL	
BSI__PFLU_U_BE1__K141_173029_9-MONOMER	BSI__PFLU_U_BE1__K141_173029_9		NIL	
BSI__PFLU_U_BE1__K141_173029_10-MONOMER	BSI__PFLU_U_BE1__K141_173029_10		NIL	
BSI__PFLU_U_BE1__K141_173029_11-MONOMER	BSI__PFLU_U_BE1__K141_173029_11		NIL	
BSI__PFLU_U_BE1__K141_173029_12-MONOMER	BSI__PFLU_U_BE1__K141_173029_12		NIL	
BSI__PFLU_U_BE1__K141_173029_13-MONOMER	BSI__PFLU_U_BE1__K141_173029_13		NIL	
BSI__PFLU_U_BE1__K141_173029_14-MONOMER	BSI__PFLU_U_BE1__K141_173029_14		NIL	
BSI__PFLU_U_BE1__K141_173029_15-MONOMER	BSI__PFLU_U_BE1__K141_173029_15		NIL	
BSI__PFLU_U_BE1__K141_173029_16-MONOMER	BSI__PFLU_U_BE1__K141_173029_16		NIL	
BSI__PFLU_U_BE1__K141_173029_17-MONOMER	BSI__PFLU_U_BE1__K141_173029_17		NIL	
BSI__PFLU_U_BE1__K141_173029_18-MONOMER	BSI__PFLU_U_BE1__K141_173029_18		NIL	
BSI__PFLU_U_BE1__K141_173029_19-MONOMER	BSI__PFLU_U_BE1__K141_173029_19		NIL	
BSI__PFLU_U_BE1__K141_173029_20-MONOMER	BSI__PFLU_U_BE1__K141_173029_20		NIL	
BSI__PFLU_U_BE1__K141_173029_21-MONOMER	BSI__PFLU_U_BE1__K141_173029_21		NIL	
BSI__PFLU_U_BE1__K141_101439_444-MONOMER	BSI__PFLU_U_BE1__K141_101439_444		NIL	
