#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_62218_999			
BSI__PFLU_U_BE1__K141_62218_1000			
BSI__PFLU_U_BE1__K141_62218_1001			
BSI__PFLU_U_BE1__K141_62218_1002			
BSI__PFLU_U_BE1__K141_62218_1003			
BSI__PFLU_U_BE1__K141_62218_1004			
BSI__PFLU_U_BE1__K141_62218_1005			
BSI__PFLU_U_BE1__K141_62218_1006			
BSI__PFLU_U_BE1__K141_62218_1007		ygfZ	
BSI__PFLU_U_BE1__K141_62218_1008		tag	
BSI__PFLU_U_BE1__K141_62218_1009			
BSI__PFLU_U_BE1__K141_62218_1010			
BSI__PFLU_U_BE1__K141_62218_1011			
BSI__PFLU_U_BE1__K141_62218_1012			
BSI__PFLU_U_BE1__K141_62218_1013		MA20_42120	
BSI__PFLU_U_BE1__K141_62218_1014		MA20_42130	
BSI__PFLU_U_BE1__K141_62218_1015			
BSI__PFLU_U_BE1__K141_62218_1016			
BSI__PFLU_U_BE1__K141_62218_1017			
BSI__PFLU_U_BE1__K141_62218_1018		nadA	
BSI__PFLU_U_BE1__K141_62218_1019		nadB	
BSI__PFLU_U_BE1__K141_62218_1020		nadC	
BSI__PFLU_U_BE1__K141_62218_1021			
BSI__PFLU_U_BE1__K141_62218_1022			
BSI__PFLU_U_BE1__K141_62218_1023			
BSI__PFLU_U_BE1__K141_62218_1024			
BSI__PFLU_U_BE1__K141_62218_1025			
BSI__PFLU_U_BE1__K141_62218_1026			
BSI__PFLU_U_BE1__K141_62218_1027			
BSI__PFLU_U_BE1__K141_62218_1028			
BSI__PFLU_U_BE1__K141_62218_1029			
BSI__PFLU_U_BE1__K141_62218_1030			
BSI__PFLU_U_BE1__K141_62218_1031		ispB	
BSI__PFLU_U_BE1__K141_62218_1032			
BSI__PFLU_U_BE1__K141_62218_1033			
BSI__PFLU_U_BE1__K141_62218_1034			
BSI__PFLU_U_BE1__K141_62218_1035			
BSI__PFLU_U_BE1__K141_62218_1036			
BSI__PFLU_U_BE1__K141_62218_1037			
BSI__PFLU_U_BE1__K141_62218_1038		udgA	
BSI__PFLU_U_BE1__K141_62218_1039			
BSI__PFLU_U_BE1__K141_62218_1040			
BSI__PFLU_U_BE1__K141_62218_1041			
BSI__PFLU_U_BE1__K141_62218_1042			
BSI__PFLU_U_BE1__K141_62218_1043		MA20_42330	
BSI__PFLU_U_BE1__K141_62218_1044			
BSI__PFLU_U_BE1__K141_62218_1045		rnhB	
BSI__PFLU_U_BE1__K141_62218_1046		ccrM	
BSI__PFLU_U_BE1__K141_62218_1047			
BSI__PFLU_U_BE1__K141_62218_1048		MA20_42435	
BSI__PFLU_U_BE1__K141_62218_1049		MA20_42440	
BSI__PFLU_U_BE1__K141_62218_1050		smc	
BSI__PFLU_U_BE1__K141_62218_1051			
BSI__PFLU_U_BE1__K141_62218_1052			
BSI__PFLU_U_BE1__K141_62218_1053		atpI	
BSI__PFLU_U_BE1__K141_62218_1054		atpB	
BSI__PFLU_U_BE1__K141_62218_1055		atpE	
BSI__PFLU_U_BE1__K141_62218_1056		atpF2	
BSI__PFLU_U_BE1__K141_62218_1057		atpF	
