Compound	Cluster	Classes	Common names	MetaCyc link
BUTANEDIOL	1	Compounds-And-Elements, Alcohols, Compounds, FRAMES, glycols, Chemicals, 2-3-Butanediols, Diols	(R,R)-2,3-butanediol	https://metacyc.org/compound?orgid=META&id=BUTANEDIOL
CPD-17461	1	Compounds-And-Elements, Carboxylates, FRAMES, Organic-Acids, Acids, dicarboxylate, Chemicals, Compounds, Alpha-omega-dicarboxylates, All-Carboxy-Acids	L-talarate	https://metacyc.org/compound?orgid=META&id=CPD-17461
5Z-3-oxo-tetradec-5-enoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (5Z)-3-oxo-tetradec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=5Z-3-oxo-tetradec-5-enoyl-ACPs
CPD-277	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	3-fumarylpyruvate	https://metacyc.org/compound?orgid=META&id=CPD-277
7Z-3-oxo-hexadec-7-enoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (7Z)-3-oxo-hexadec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=7Z-3-oxo-hexadec-7-enoyl-ACPs
3-oxo-cis-D9-hexadecenoyl-ACPs	1	Proteins, Modified-Proteins, Macromolecules, Long-Chain-3-oxo-ACPs, Polypeptides, FRAMES, B-KETOACYL-ACP, All-ACPs, Chemicals, ACYL-ACP, Monounsaturated-acyl-ACPs	a (9Z)-3-oxohexadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-cis-D9-hexadecenoyl-ACPs
CPD-110	1	Compounds-And-Elements, Carboxylates, Phenols, Aromatic-Acid, FRAMES, Aromatics, Organic-Acids, Acids, Chemicals, Compounds, All-Carboxy-Acids	salicylate	https://metacyc.org/compound?orgid=META&id=CPD-110
3-hydroxy-cis-D9-hexaecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, OH-ACYL-ACP, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3R,9Z)-3-hydroxyhexadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-hydroxy-cis-D9-hexaecenoyl-ACPs
HYDROXYMUCONATE-SALD	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	(2Z,4E)-2-hydroxy-6-oxohexa-2,4-dienoate	https://metacyc.org/compound?orgid=META&id=HYDROXYMUCONATE-SALD
CPD-1134	1	Compounds-And-Elements, Carboxylates, Carbohydrates, FRAMES, Organic-Acids, Glycans, Acids, Chemicals, Ketoaldonates, Compounds, Carbohydrate-acids, All-Carboxy-Acids, All-Carbohydrates	2-dehydro-3-deoxy-L-pentonate	https://metacyc.org/compound?orgid=META&id=CPD-1134
2E-7Z-hexadeca-2-7-dienoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, a-polyunsaturated-acyl-acp	a (2E,7Z)-hexadeca-2,7-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-7Z-hexadeca-2-7-dienoyl-ACPs
NIACINE	1	Compounds-And-Elements, B-vitamins, Chemicals, Compounds, FRAMES, Vitamins	nicotinate	https://metacyc.org/compound?orgid=META&id=NIACINE
CPD-10525	1	Compounds-And-Elements, Dyes, FRAMES, Aromatics, Indoles, Chemicals, Compounds	indigo	https://metacyc.org/compound?orgid=META&id=CPD-10525
DEOXYADENOSINE	1	Compounds-And-Elements, All-Nucleosides, Organic-Heteropolycyclic-Compounds, Purine-Deoxyribonucleosides, Purines, Nitrogen-Molecular-Entities, Nucleosides, Compounds, Organic-heterocyclic-compound, Deoxy-Ribonucleosides, Organic-heterobicyclic-compounds, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, Organonitrogen-Heterocyclic-Compounds, FRAMES, Purine-Nucleosides, Chemicals	2'-deoxyadenosine	https://metacyc.org/compound?orgid=META&id=DEOXYADENOSINE
CPD-1117	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	L-arabinonate	https://metacyc.org/compound?orgid=META&id=CPD-1117
CPD-824	1	2-Oxo-Acids, Compounds-And-Elements, Carboxylates, FRAMES, Organic-Acids, Acids, Chemicals, 2-Oxo-carboxylates, Compounds, All-Carboxy-Acids	5-guanidino-2-oxopentanoate	https://metacyc.org/compound?orgid=META&id=CPD-824
CPD-827	1	Compounds-And-Elements, Carboxylates, Carbohydrates, FRAMES, Organic-Acids, Glycans, Acids, Chemicals, Ketoaldonates, Compounds, Carbohydrate-acids, All-Carboxy-Acids, All-Carbohydrates	5-dehydro-2-deoxy-D-gluconate	https://metacyc.org/compound?orgid=META&id=CPD-827
CPD-16020	1	Compounds-And-Elements, All-Nucleosides, FRAMES, Chemicals, Nucleosides, Compounds, modified-deoxyribonucleoside, Deoxy-Ribonucleosides	2-oxo-2'-deoxyadenosine	https://metacyc.org/compound?orgid=META&id=CPD-16020
CPD-196	1	Compounds-And-Elements, Esters, Saturated-Fatty-Acyl-CoA, Compounds, ACYL-COA, FRAMES, Fatty-Acyl-CoAs, Chemicals, Medium-Chain-Acyl-CoAs, Thioesters, Medium-Chain-234-Saturated-acyl-CoAs, All-Coas	octanoyl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-196
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	D-glycero-&beta;-D-manno-heptose 1,7-bisphosphate	https://metacyc.org/compound?orgid=META&id=D-BETA-D-HEPTOSE-17-DIPHOSPHATE
3-oxo-petroselinoyl-ACPs	1	Long-Chain-3-oxo-ACPs, Polypeptides, FRAMES, Proteins, B-KETOACYL-ACP, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules	a (6Z)-3-oxooctadec-6-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-petroselinoyl-ACPs
Cis-Delta5-dodecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (5Z)-dodec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-Delta5-dodecenoyl-ACPs
CPD-12738	1	Compounds-And-Elements, Carboxylates, Hydroxy-Amino-Acids, Modified-Amino-Acids, Acids, Compounds, Hydroxy-D-Amino-Acids, DL-3-HYDROXYASPARTATE, Amino-Acids, FRAMES, Organic-Acids, Chemicals, CPD0-2079, D-Amino-Acids, All-Carboxy-Acids, All-Amino-Acids	(3R)-3-hydroxy-D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-12738
Trans-D2-cis-D7-tetradecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Di-unsaturated-acyl-ACPs, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules	a (2E,7Z)-tetradeca-2,7-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D2-cis-D7-tetradecenoyl-ACPs
CPD-825	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	4-guanidinobutyraldehyde	https://metacyc.org/compound?orgid=META&id=CPD-825
CPD0-2298	1	Compounds-And-Elements, Chemicals, FRAMES, Compounds, Ureido-Compounds	(S)-ureidoglycine	https://metacyc.org/compound?orgid=META&id=CPD0-2298
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	1	Compounds-And-Elements, Carbohydrates, FRAMES, Carbohydrate-Derivatives, Glycans, Chemicals, Sugar-Phosphate, Compounds, All-Carbohydrates	D-glycero-D-manno-heptose 7-phosphate	https://metacyc.org/compound?orgid=META&id=D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE
S-2-INDOL-3-YLACETYL-COA	1	Compounds-And-Elements, Esters, ACYL-COA, FRAMES, Chemicals, Thioesters, Compounds, All-Coas	(indol-3 yl)acetyl-CoA	https://metacyc.org/compound?orgid=META&id=S-2-INDOL-3-YLACETYL-COA
CPD-12692	1	Compounds-And-Elements, ORGANOSULFUR, Chemicals, FRAMES, Compounds, SULFONATES, 2-3-dihydroxypropane-1-sulfonate	(2R)-3-sulfopropanediol	https://metacyc.org/compound?orgid=META&id=CPD-12692
CPD-1133	1	Compounds-And-Elements, Alcohols, Cyclic-Alcohols, FRAMES, Cyclitols, Chemicals, Inositols, Compounds, Modified-Inositols	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione	https://metacyc.org/compound?orgid=META&id=CPD-1133
FORMYL-COA	1	Compounds-And-Elements, Esters, Chemicals, Thioesters, Compounds, FRAMES, All-Coas	formyl-CoA	https://metacyc.org/compound?orgid=META&id=FORMYL-COA
3Z-dodec-3-enoyl-ACPs	1	CIS-ENOYL-ACP, Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3Z)-dodec-3-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3Z-dodec-3-enoyl-ACPs
FMNH2	1	Redox-Electron-Carriers, Compounds-And-Elements, Reduced-Flavins, Organic-Heteropolycyclic-Compounds, Benzopteridines, Pteridines, Flavin-Electorin-Carriers, Nitrogen-Molecular-Entities, Compounds, Organic-heterocyclic-compound, FLAVIN, Organic-heterobicyclic-compounds, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, Organonitrogen-Heterocyclic-Compounds, Acceptors, FRAMES, Chemicals	FMNH2	https://metacyc.org/compound?orgid=META&id=FMNH2
CPD-12709	1	Compounds-And-Elements, Organohalogen-Compounds, Carboxylates, FRAMES, Monocarboxylates, Organic-Acids, Acids, Chemicals, Fluorides, Compounds, All-Carboxy-Acids	fluoroacetate	https://metacyc.org/compound?orgid=META&id=CPD-12709
CPD-289	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	(1R,2R)-cyclohexa-3,5-diene-1,2-diol	https://metacyc.org/compound?orgid=META&id=CPD-289
DEOXYINOSINE	1	Compounds-And-Elements, All-Nucleosides, Organic-Heteropolycyclic-Compounds, Purine-Deoxyribonucleosides, Purines, Nitrogen-Molecular-Entities, Nucleosides, Compounds, Organic-heterocyclic-compound, Deoxy-Ribonucleosides, Organic-heterobicyclic-compounds, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, Organonitrogen-Heterocyclic-Compounds, FRAMES, Purine-Nucleosides, Chemicals	2'-deoxyinosine	https://metacyc.org/compound?orgid=META&id=DEOXYINOSINE
CPD-1136	1	Compounds-And-Elements, Carboxylates, FRAMES, Organic-Acids, Acids, Chemicals, Compounds, All-Carboxy-Acids, Tricarboxylates	cis-2-methylaconitate	https://metacyc.org/compound?orgid=META&id=CPD-1136
5-OH-2-4-DIOXOPENTANOATE	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	5-hydroxy-2,4-dioxopentanoate	https://metacyc.org/compound?orgid=META&id=5-OH-2-4-DIOXOPENTANOATE
CPD-594	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	3-guanidinopropanoate	https://metacyc.org/compound?orgid=META&id=CPD-594
