Compound	Cluster	Classes	Common names	MetaCyc link
CPD-20263	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	7-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20263
CPD-20261	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	2-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20261
CPD-20260	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	2-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-20260
L-DIHYDROXY-PHENYLALANINE	2	Amino-Acids, Aromatics, Acids, Non-standard-amino-acids, All-Amino-Acids, Carboxylates, Alcohols, Alpha-Amino-Acids, Compounds-And-Elements, Diols, Chemicals, FRAMES, Organic-Acids, Catechols, Benzenediols, All-Carboxy-Acids, Compounds	L-dopa	https://metacyc.org/compound?orgid=META&id=L-DIHYDROXY-PHENYLALANINE
CPD-9646	2	Chemicals, Lipids, CIS-TRANS-POLYISOPRENYL-P, FRAMES, Isoprenoid-Derivatives, Isoprenoid-Phosphates, Polyisoprenoids, Polyisoprenyl-Monophosphates, Compounds, Compounds-And-Elements	di-trans,octa-cis-undecaprenyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-9646
10-FORMYL-DIHYDROFOLATE-GLU-N	2	Pterins, Dihydrofolate-Derivatives, DIHYDROFOLATE-GLU-N, Organic-Heteropolycyclic-Compounds, Nitrogen-Molecular-Entities, Pteroates, Vitamins, Compounds-And-Elements, Organic-heterobicyclic-compounds, Chemicals, Organic-heterocyclic-compound, Organic-heteromonocyclic-compounds, FRAMES, Pteridines, Cofactors, All-Folates, Organonitrogen-Compounds, Compounds, Organonitrogen-Heterocyclic-Compounds	an N10-formyl-7,8-dihydrofolate	https://metacyc.org/compound?orgid=META&id=10-FORMYL-DIHYDROFOLATE-GLU-N
CPD-14931	2	Pterins, Organic-Heteropolycyclic-Compounds, Nitrogen-Molecular-Entities, Pteroates, Vitamins, Compounds-And-Elements, Organic-heterobicyclic-compounds, Chemicals, Organic-heterocyclic-compound, Organic-heteromonocyclic-compounds, FRAMES, THF-Derivatives, Pteridines, Cofactors, All-Folates, Organonitrogen-Compounds, Compounds, Organonitrogen-Heterocyclic-Compounds	4a-hydroxy-N10-formyltetrahydrofolate	https://metacyc.org/compound?orgid=META&id=CPD-14931
L-XYLULOSE	3	Xylulose, Carbohydrates, Glycans, Ketoses, Monosaccharides, Pentoses, Sugar, Chemicals, Compounds-And-Elements, Ketopentoses, FRAMES, All-Carbohydrates, L-Pentoses, Compounds	L-xylulose	https://metacyc.org/compound?orgid=META&id=L-XYLULOSE
CPD0-181	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	N5-carboxyaminoimidazole ribonucleotide	https://metacyc.org/compound?orgid=META&id=CPD0-181
DEOXYCYTIDINE	3	Chemicals, Compounds, Nucleosides, FRAMES, All-Nucleosides, Compounds-And-Elements	2'-deoxycytidine	https://metacyc.org/compound?orgid=META&id=DEOXYCYTIDINE
