Compound	Cluster	Classes	Common names	MetaCyc link
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	2-amino-3-carboxymuconate-6-semialdehyde	https://metacyc.org/compound?orgid=META&id=2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI
CPD-12115	2	Compounds, Menaquinols, Membrane-Electron-Carriers, Chemicals, Modified-Menaquinols, Acceptors, Reduced-Quinones, Demethylmenaquinols, Redox-Electron-Carriers, Aromatics, Compounds-And-Elements, ETR-Quinols, FRAMES	demethylmenaquinol-8	https://metacyc.org/compound?orgid=META&id=CPD-12115
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA	https://metacyc.org/compound?orgid=META&id=2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-
ALLANTOATE	3	Compounds, Acids, All-Carboxy-Acids, Chemicals, Organic-Acids, Amides, Carboxylates, Carboxamides, Compounds-And-Elements, Monocarboxylates, FRAMES	allantoate	https://metacyc.org/compound?orgid=META&id=ALLANTOATE
CPD-15936	3	Chemicals, Secondary-Metabolites, Compounds, POLYKETIDE, Compounds-And-Elements, FRAMES	tetracenomycin F2	https://metacyc.org/compound?orgid=META&id=CPD-15936
CPD-7246	3	Amino-Sugars, N-acetyl-a-D-hexosamine-1-phosphates, Chemicals, Monosaccharides, Alpha-Hexose-1-Phosphates, Sugar, Compounds-And-Elements, Hexose-phosphates, FRAMES, Sugar-Phosphate, All-Carbohydrates, Compounds, Glycans, Hexose-1-Phosphate, Hexosamines, Carbohydrate-Derivatives, Carbohydrates, Sugar-1-Phosphate	N-acetyl-&alpha;-D-galactosamine 1-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-7246
CPD-330	3	Compounds, Esters, FRAMES, Chemicals, Compounds-And-Elements, Gamma-lactones, Lactones	L-galactono-1,4-lactone	https://metacyc.org/compound?orgid=META&id=CPD-330
CPD-22404	3	All-Carbohydrates, Compounds, Glycans, Compounds-And-Elements, Chemicals, Carbohydrates, Glycoconjugates, Lipid-X, FRAMES, Glycolipids, Lipids	lipid X (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22404
CPD-15633	3	All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Compounds-And-Elements, Hexuronates, FRAMES, Galacturonate, Uronates, Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, D-GALACTURONATE, Acids, Carbohydrates, Monocarboxylates	aldehydo-D-galacturonate	https://metacyc.org/compound?orgid=META&id=CPD-15633
CPD-22403	3	All-Carbohydrates, Compounds, Glycans, Chemicals, Lipid-A-Disaccharide, Carbohydrates, Glycoconjugates, Compounds-And-Elements, FRAMES, Glycolipids, Lipids	lipid A disaccharide (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22403
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	3	All-Carbohydrates, Compounds, Glycans, Chemicals, Oligosaccharides, Carbohydrates, Glycoconjugates, Prenylated-Glycans, Compounds-And-Elements, Oligosaccharide-Lipid, FRAMES, Glycolipids, Lipids	&beta;-D-ManNAc-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und	https://metacyc.org/compound?orgid=META&id=ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND
CPD0-1110	3	D-Aldoses, Ribose, Chemicals, Monosaccharides, D-Pentoses, Sugar, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES, D-aldopyranoses, Compounds, All-Carbohydrates, Glycans, Pentoses, D-aldopentose, RIBOSE, Aldopyranoses, D-Ribopyranose, Carbohydrates, Aldopentoses, Aldoses, Aldehydes	&beta;-D-ribopyranose	https://metacyc.org/compound?orgid=META&id=CPD0-1110
CPD0-2018	3	Modified-Bases, Compounds, Compounds-And-Elements, Chemicals, All-Nucleosides, FRAMES	5-methylcytosine	https://metacyc.org/compound?orgid=META&id=CPD0-2018
CPD-16467	3	Compounds, Acids, All-Carboxy-Acids, Chemicals, Organic-Acids, Carboxylates, dicarboxylate, Compounds-And-Elements, FRAMES	3-[(1-carboxyvinyl)oxy]benzoate	https://metacyc.org/compound?orgid=META&id=CPD-16467
CPD-19754	3	Compounds, Amino-Acids, Acids, All-Amino-Acids, Modified-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, Amino-Acid-Derivatives, Compounds-And-Elements, FRAMES	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate	https://metacyc.org/compound?orgid=META&id=CPD-19754
CPD-7643	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	(5-formylfuran-3-yl)methyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-7643
2-DH-3-DO-D-ARABINONATE	3	Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Carbohydrates, Compounds-And-Elements, Ketoaldonates, FRAMES	2-dehydro-3-deoxy-D-pentonate	https://metacyc.org/compound?orgid=META&id=2-DH-3-DO-D-ARABINONATE
D-Galactopyranuronate	3	Pyranuronates, All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Compounds-And-Elements, Hexuronates, FRAMES, Galacturonate, Uronates, Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, D-GALACTURONATE, Acids, Carbohydrates, Monocarboxylates	D-galactopyranuronate	https://metacyc.org/compound?orgid=META&id=D-Galactopyranuronate
THYMINE	3	Bases, Compounds, Compounds-And-Elements, Nitrogen-Molecular-Entities, Chemicals, All-Nucleosides, Pyrimidine-Bases, Diazines, Organic-heterocyclic-compound, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, FRAMES, Pyrimidines	thymine	https://metacyc.org/compound?orgid=META&id=THYMINE
