Compound	Cluster	Classes	Common names	MetaCyc link
L-ARABITOL	3	Pentitols, Carbohydrates, Sugar, Compounds-And-Elements, FRAMES, All-Carbohydrates, Glycans, Compounds, Alcohols, Sugar-alcohols, Chemicals	L-arabinitol	https://metacyc.org/compound?orgid=META&id=L-ARABITOL
CPD-9245	3	Monounsaturated-fatty-acids, Fatty-Acids, Hexadecenoates, Carboxylates, CPD66-39, All-Carboxy-Acids, Acids, Long-Chain-234-Saturated-Fatty-Acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Unsaturated-Fatty-Acids, Compounds, Long-Chain-Fatty-Acids	palmitoleate	https://metacyc.org/compound?orgid=META&id=CPD-9245
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	a (3R,11Z)-3-hydroxy-icos-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-11Z-3-hydroxy-icos-11-enoyl-ACPs
R-3-hydroxy-cis-vaccenoyl-ACPs	3	FRAMES, OH-ACYL-ACP, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, ACYL-ACP	a (3R,11Z)-3-hydroxyoctadec-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=R-3-hydroxy-cis-vaccenoyl-ACPs
cis-vaccen-2-enoyl-ACPs	3	TRANS-D2-ENOYL-ACP, FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	a (2E,11Z)-octadeca-2,11-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=cis-vaccen-2-enoyl-ACPs
11Z-icos-11-enoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	a gondoyl-[acp]	https://metacyc.org/compound?orgid=META&id=11Z-icos-11-enoyl-ACPs
11Z-3-oxo-icos-11-enoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	an (11Z)-3-oxo-icos-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=11Z-3-oxo-icos-11-enoyl-ACPs
Cis-vaccenoyl-ACPs	3	Macromolecules, ACYL-ACP, Monounsaturated-acyl-ACPs, Chemicals, Fatty-acyl-ACPs, FRAMES, Saturated-Fatty-Acyl-ACPs, Modified-Proteins, All-ACPs, Proteins, Polypeptides, Long-Chain-Acyl-ACPs	a cis-vaccenoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-vaccenoyl-ACPs
2E-11Z-icosa-2-11-dienoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, a-polyunsaturated-acyl-acp, Proteins, Polypeptides, ACYL-ACP	a (2E,11Z)-icosa-2,11-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-11Z-icosa-2-11-dienoyl-ACPs
3-oxo-cis-vaccenoyl-ACPs	3	FRAMES, B-KETOACYL-ACP, Long-Chain-3-oxo-ACPs, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, ACYL-ACP	an (11Z)-3-oxooctadec-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-cis-vaccenoyl-ACPs
